,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,land_cover_class,top_class_1000m,proportion_agricultural_1000m,shannon_idx_1000m
0,997426813,95c938a8-f762-11e1-a439-00145eb45e9a,4e6039bc-f2f9-4726-a5be-e303813d6331,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,Clinton Wildlife Area,Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,38.89526,-95.48534,,,,,,,2011-08-25,25.0,8.0,2011,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,369945,,Hillary J Loring,,CC_BY_4_0,,Hillary J Loring,,,2025-02-13T16:11:15.205Z,,,Barren Land,Deciduous Forest,26.947779949734713,1.5764039363426263
1,811857248,95c938a8-f762-11e1-a439-00145eb45e9a,04b79399-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Bridgeport, ca 1.1 km SE along US 18",Wisconsin,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,43.00035,-91.05202,5.0,,,,,,2012-08-23,23.0,8.0,2012,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,369629,,Craig C Freeman,,CC_BY_4_0,,Craig C Freeman,,,2025-02-13T16:07:48.125Z,,,Woody Wetlands,Woody Wetlands,19.84500415167451,1.7951841425451838
2,5053562407,95c938a8-f762-11e1-a439-00145eb45e9a,442a3897-bc5b-4071-8147-7b9837867fb0,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Konza Prairie Biological Station, Wingfield Township, Watershed R20A, drainage from Pressee Branch of McDowell Creek, under powerline poles on ridge overlooking I-70",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.066917,-96.614111,5.4,,,,,,2015-09-28,28.0,9.0,2015,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,442575,,Gary J Breckon,,CC_BY_4_0,,Gary J Breckon,,,2025-02-13T16:11:11.988Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84,Grassland/Herbaceous,Grassland/Herbaceous,0,0.4825890985852061
3,5052339768,c01696db-a5fe-4d3a-8b26-90760604774b,b57d6e62-bb5d-4882-b81e-68f1055979d9,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,(Moq.) J. D. Sauer,US,Corey Marsh Ecological Research Center. Laingsburg. Site of former MSU Muck Soils Research Farm. South edge of the west loop trail.,Michigan,PRESENT,,41d6acb0-48b5-11db-a1c2-b8a03c50a862,42.82457,-84.38731,,,,,,,2023-07-27,27.0,7.0,2023,8577467,8577467,PRESERVED_SPECIMEN,MSC,,MSC0292632,383,,,CC_BY_NC_4_0,,Jordan Zapata,,,2025-02-13T19:53:33.131Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Woody Wetlands,Woody Wetlands,12.56921373200443,1.3143881554417094
4,5052339560,c01696db-a5fe-4d3a-8b26-90760604774b,821994a9-6287-4b17-9de0-c941d80e5a21,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,(Moq.) J. D. Sauer,US,Harbor Beach.,Michigan,PRESENT,,41d6acb0-48b5-11db-a1c2-b8a03c50a862,43.72648,-82.62783,,,,,,,2022-09-05,5.0,9.0,2022,8577467,8577467,PRESERVED_SPECIMEN,MSC,,MSC0287711,26,,,CC_BY_NC_4_0,,Kirsten Klee,,,2025-02-13T19:53:32.357Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Cultivated Crops,Cultivated Crops,74.36323366555925,0.8915790090176472
5,5052339532,c01696db-a5fe-4d3a-8b26-90760604774b,2982fc7e-273f-412b-9872-e225c6687272,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,(Moq.) J. D. Sauer,US,Pittsford,Michigan,PRESENT,,41d6acb0-48b5-11db-a1c2-b8a03c50a862,41.788095,-84.474288,,,,,,,2022-09-05,5.0,9.0,2022,8577467,8577467,PRESERVED_SPECIMEN,MSC,,MSC0288710,1,Erin Hill,2022-11-15T00:00:00,CC_BY_NC_4_0,,Jason Kushmaul,,,2025-02-13T19:53:32.259Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Woody Wetlands,Cultivated Crops,71.68092740822523,1.1427831520485017
7,5052331171,c01696db-a5fe-4d3a-8b26-90760604774b,4667e3be-f361-4e16-be5e-4ad8f9e74cfe,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,(Moq.) J. D. Sauer,US,East Lansing. Michigan State University campus. Beal Botanical Gardens. North bank of Red Cedar River between Beal Street bridge and bridge leading to main library.,Michigan,PRESENT,,41d6acb0-48b5-11db-a1c2-b8a03c50a862,42.730427,-84.484895,,,,,,,2022-08-18,18.0,8.0,2022,8577467,8577467,PRESERVED_SPECIMEN,MSC,,MSC0287365,108,Matt Chansler,2022-10-21T00:00:00,CC_BY_NC_4_0,,Jacob Mantela,,,2025-02-13T19:53:31.443Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,"Developed, Open Space","Developed, Medium Intensity",0,1.227222210585815
9,5052313569,c01696db-a5fe-4d3a-8b26-90760604774b,a3ba51e9-9d4b-4b24-99dd-cbe6c92fd533,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,(Moq.) J. D. Sauer,US,Harbor Beach.,Michigan,PRESENT,,41d6acb0-48b5-11db-a1c2-b8a03c50a862,43.72648,-82.62783,,,,,,,2022-09-05,5.0,9.0,2022,8577467,8577467,PRESERVED_SPECIMEN,MSC,,MSC0287712,26,,,CC_BY_NC_4_0,,Kirsten Klee,,,2025-02-13T19:53:32.425Z,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,Cultivated Crops,Cultivated Crops,74.36323366555925,0.8915790090176472
10,4990068339,a36438d0-bec7-4b7b-9bfa-2c31e7610c39,f3e4b8f1-69fa-425e-855e-89c59f725cfc,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,(Moquin-Tandon) J.D. Sauer,US,"Mid.Big L.,WI shore, river mile 758.5, Pool 4",Wisconsin,PRESENT,,927f1e70-cf74-11d8-bf68-b8a03c50a862,44.389041,-91.97413,500.0,,,,,,1991-08-21,21.0,8.0,1991,8577467,8577467,PRESERVED_SPECIMEN,MIN,Plants,986862,13,,,CC0_1_0,"Bell Museum, University of Minnesota",Kristine Kruse,,,2025-02-06T22:00:20.134Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;AMBIGUOUS_COLLECTION,Woody Wetlands,Water,9.886142738128298,1.2828845661750037
12,4987962718,95c938a8-f762-11e1-a439-00145eb45e9a,e30111bb-4645-4136-9776-e85b6d5961f2,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Konza Prairie Biological Station, Ashland Township, ALA, W off of Konza Prairie Lane, opposite parking area for Nature Trail",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.107194,-96.609694,3.8,,,,,,2016-07-26,26.0,7.0,2016,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,441774,,Gary J Breckon,,CC_BY_4_0,,Gary J Breckon,,,2025-02-13T16:11:57.082Z,,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84,"Developed, Low Intensity",Grassland/Herbaceous,15.751121076233185,1.2243759110917158
